latitude,longitude,zipcode
41.413372,-91.00612,52761
42.324761,-88.452481,60001
42.46617,-88.09995,60002
42.108428,-87.97723,60004
42.069327,-87.98464,60005
41.811929,-87.68732,60006
42.005978,-87.99847,60007
42.07506,-88.02508,60008
41.811929,-87.68732,60009
42.160791,-88.15231,60010
42.322814,-87.610053,60011
42.265643,-88.31664,60012
42.217523,-88.24338,60013
42.226623,-88.33066,60014
42.169325,-87.86556,60015
42.047178,-87.89058,60016
42.028779,-87.894366,60017
42.008429,-87.89234,60018
42.024278,-87.907066,60019
42.409445,-88.17822,60020
42.194946,-88.21676,60021
42.130976,-87.76252,60022
42.07672,-87.81922,60025
41.811929,-87.68732,60026
42.056529,-87.79286,60029
42.338955,-88.03433,60030
42.375821,-87.93517,60031
42.424338,-88.61431,60033
42.468318,-88.43125,60034
42.181875,-87.80956,60035
42.21196,-87.80808,60037
42.097976,-88.014072,60038
42.324761,-88.452481,60039
42.205724,-87.81421,60040
42.372721,-88.15303,60041
42.277691,-88.20074,60042
42.088128,-87.716,60043
42.286222,-87.86309,60044
42.238087,-87.86093,60045
42.410687,-88.05462,60046
42.199957,-88.05859,60047
42.290922,-87.95169,60048
42.198674,-88.041875,60049
42.348406,-88.24769,60050
42.324761,-88.452481,60051
42.041999,-87.78882,60053
42.35344,-88.260692,60054
42.097976,-88.014072,60055
42.065427,-87.93621,60056
42.263623,-88.01172,60060
42.229856,-87.96779,60061
42.124576,-87.84303,60062
42.326072,-87.85202,60064
41.811929,-87.68732,60065
42.10979,-88.04917,60067
42.01183,-87.84158,60068
42.188074,-87.92717,60069
42.105576,-87.92816,60070
42.464639,-88.3028,60071
42.405464,-88.30274,60072
42.366253,-88.09647,60073
42.143819,-88.02546,60074
42.322814,-87.610053,60075
42.03618,-87.7321,60076
42.033313,-87.75764,60077
41.811929,-87.68732,60078
42.322814,-87.610053,60079
42.442519,-88.276047,60080
42.441869,-88.22167,60081
42.116377,-87.812064,60082
42.428187,-87.92935,60083
42.263181,-88.14328,60084
42.361271,-87.86187,60085
42.43335,-87.776595,60086
42.404272,-87.86525,60087
42.312372,-87.85284,60088
42.167638,-87.96393,60089
42.131526,-87.92958,60090
42.077178,-87.72373,60091
42.322814,-87.610053,60092
42.104127,-87.75016,60093
41.811929,-87.68732,60094
41.811929,-87.68732,60095
42.48067,-87.83018,60096
42.384504,-88.3495,60097
42.316121,-88.43884,60098
42.451371,-87.84862,60099
41.931573,-88.00222,60101
42.17315,-88.31849,60102
41.977477,-88.17257,60103
41.882924,-87.87642,60104
41.839679,-88.088716,60105
41.956479,-87.95117,60106
42.023977,-88.17657,60107
41.94954,-88.08256,60108
42.052112,-88.54829,60109
42.121188,-88.27227,60110
41.998231,-88.84223,60111
41.921121,-88.6899,60112
41.93171,-88.96438,60113
41.839679,-88.088716,60114
41.924127,-88.74617,60115
41.839679,-88.088716,60116
41.839679,-88.088716,60117
42.101502,-88.28891,60118
41.876506,-88.46429,60119
42.037176,-88.25922,60120
42.04133,-88.3126,60121
42.067101,-88.304994,60122
42.034776,-88.32393,60123
41.839679,-88.088716,60125
41.89103,-87.94181,60126
41.878878,-88.134469,60127
41.839679,-88.088716,60128
42.034502,-88.97084,60129
41.871331,-87.81235,60130
41.93548,-87.87468,60131
41.839679,-88.088716,60132
41.980896,-88.144475,60133
41.885728,-88.31957,60134
42.10028,-88.6906,60135
42.099479,-88.36942,60136
